"XDR_FIELD_NAME","XDR_DR_TYPE","XDR_FIELD_TYPE","XDR_DEFAULT_VALUE","XDR_FIELD_FORMAT","XDR_FIELD_INDEX"
BILL_MONTH,dr_ggprs,4,,,4
VALID_RATE_PROD_ID,dr_ggprs,4,,,5
RATE_PROD_ID,dr_ggprs,4,,,6
PRODUCT_ID,dr_ggprs,4,,,7
PROMOTION_PRODS,dr_ggprs,4,,,8
PLAN_ID,dr_ggprs,4,,,9
CUST_ID,dr_ggprs,4,,,10
ACC_ID,dr_ggprs,4,,,11
USER_ID,dr_ggprs,4,,,12
CONDITION_ID,dr_ggprs,4,,,13
IMSI,dr_ggprs,4,,,14
USER_NUMBER,dr_ggprs,4,,,15
IMEI,dr_ggprs,4,,,16
HPLMN1,dr_ggprs,4,,,17
HPLMN2,dr_ggprs,4,,,18
HPLMN3,dr_ggprs,4,,,19
VPLMN1,dr_ggprs,4,,,20
VPLMN2,dr_ggprs,4,,,21
ROAM_NET_TYPE,dr_ggprs,4,,,22
START_TIME,dr_ggprs,5,,,23
DURATION,dr_ggprs,4,,,24
RATING_RES,dr_ggprs,4,,,25
RATING_FLAG,dr_ggprs,4,,,26
CDR_FLAG,dr_ggprs,4,,,27
ITEM_CODE1,dr_ggprs,4,,,28
CHARGE1,dr_ggprs,4,,,29
CHARGE1_DISC,dr_ggprs,4,,,30
ITEM_CODE2,dr_ggprs,4,,,31
CHARGE2,dr_ggprs,4,,,32
CHARGE2_DISC,dr_ggprs,4,,,33
ITEM_CODE3,dr_ggprs,4,,,34
CHARGE3,dr_ggprs,4,,,35
CHARGE3_DISC,dr_ggprs,4,,,36
ITEM_CODE4,dr_ggprs,4,,,37
CHARGE4,dr_ggprs,4,,,38
CHARGE4_DISC,dr_ggprs,4,,,39
FREE_RES_VAL,dr_ggprs,4,,,40
ADDUP_RES_VAL,dr_ggprs,4,,,41
RECORD_TYPE,dr_ggprs,4,,,42
CALLER_INDICATE,dr_ggprs,4,,,43
SGSN_ADDRESS,dr_ggprs,4,,,44
SGSN_CHANGE,dr_ggprs,4,,,45
MSNC,dr_ggprs,4,,,46
LAC_ID,dr_ggprs,4,,,47
CELL_ID,dr_ggprs,4,,,48
RAC,dr_ggprs,4,,,49
CHARGING_ID,dr_ggprs,4,,,50
GGSN_ADDRESS,dr_ggprs,4,,,51
APN_NI,dr_ggprs,4,,,52
APN_OI,dr_ggprs,4,,,53
PDP_TYPE,dr_ggprs,4,,,54
PDP_ADDRESS,dr_ggprs,4,,,55
CAUSE_CLOSE,dr_ggprs,4,,,56
COMBINE_RESULT,dr_ggprs,4,,,57
CHARGING_CHARACTERISTICS,dr_ggprs,4,,,58
CC_SELECTION_MODE,dr_ggprs,4,,,59
SGSN_PLMN,dr_ggprs,4,,,60
PARTIAL_TYPE_INDICATOR,dr_ggprs,4,,,61
DEAL_DATETIME,dr_ggprs,5,,,62
REC_SEQ_NO,dr_ggprs,4,,,63
LOCAL_REC_SEQ_NO,dr_ggprs,4,,,64
SYSTEM_TYPE,dr_ggprs,4,,,65
GGSN_ID,dr_ggprs,4,,,66
SGSN_ID,dr_ggprs,4,,,67
SERVICE_TYPE,dr_ggprs,4,,,68
ROAM_TYPE,dr_ggprs,4,,,69
USER_TYPE,dr_ggprs,4,,,70
BILL_FLAG,dr_ggprs,4,,,71
SERVICE_USAGE,dr_ggprs,4,,,72
SERVICE_CODE,dr_ggprs,4,,,73
UP_VOLUME,dr_ggprs,4,,,74
DOWN_VOLUME,dr_ggprs,4,,,75
URI,dr_ggprs,4,,,76
PARTIAL_NUM,dr_ggprs,4,,,77
TARIFF1,dr_ggprs,4,,,78
TARIFF_SEQ_ID1,dr_ggprs,2,,,79
QOS_REQ_RELIABILITY1,dr_ggprs,4,,,80
QOS_REQ_DELAY1,dr_ggprs,4,,,81
QOS_REQ_PRECEDENCE1,dr_ggprs,4,,,82
QOS_REQ_PEAK1,dr_ggprs,4,,,83
QOS_REQ_MEAN1,dr_ggprs,4,,,84
QOS_NEG_RELIABILITY1,dr_ggprs,4,,,85
QOS_NEG_DELAY1,dr_ggprs,4,,,86
QOS_NEG_PRECEDENCE1,dr_ggprs,4,,,87
QOS_NEG_PEAK1,dr_ggprs,4,,,88
QOS_NEG_MEAN1,dr_ggprs,4,,,89
DATA_FLOW_UP1,dr_ggprs,4,,,90
DATA_FLOW_DOWN1,dr_ggprs,4,,,91
BEGIN_TIME1,dr_ggprs,5,,,92
DURATION1,dr_ggprs,4,,,93
TARIFF2,dr_ggprs,4,,,94
TARIFF_SEQ_ID2,dr_ggprs,4,,,95
QOS_REQ_RELIABILITY2,dr_ggprs,4,,,96
QOS_REQ_DELAY2,dr_ggprs,4,,,97
QOS_REQ_PRECEDENCE2,dr_ggprs,4,,,98
QOS_REQ_PEAK2,dr_ggprs,4,,,99
QOS_REQ_MEAN2,dr_ggprs,4,,,100
QOS_NEG_RELIABILITY2,dr_ggprs,4,,,101
QOS_NEG_DELAY2,dr_ggprs,4,,,102
QOS_NEG_PRECEDENCE2,dr_ggprs,4,,,103
QOS_NEG_PEAK2,dr_ggprs,4,,,104
QOS_NEG_MEAN2,dr_ggprs,4,,,105
DATA_FLOW_UP2,dr_ggprs,4,,,106
DATA_FLOW_DOWN2,dr_ggprs,4,,,107
BEGIN_TIME2,dr_ggprs,5,,,108
DURATION2,dr_ggprs,4,,,109
ADDUP_RES,dr_ggprs,4,,,110
ORI_BASIC_CHARGE,dr_ggprs,4,,,111
ORI_TOLL_CHARGE,dr_ggprs,4,,,112
ORI_OTHER_CHARGE,dr_ggprs,4,,,113
STD_BASIC_CHARGE,dr_ggprs,4,,,114
STD_TOLL_CHARGE,dr_ggprs,4,,,115
STD_OTHER_CHARGE,dr_ggprs,4,,,116
REDO_FLAG,dr_ggprs,4,,,117
ORIGINAL_FILE,dr_ggprs,4,,,118
PROCESS_TIME,dr_ggprs,5,,,119
BACKUP_DATE,dr_ggprs,4,,,120
RESERVE1,dr_ggprs,4,,,121
RESERVE2,dr_ggprs,4,,,122
RESERVE3,dr_ggprs,4,,,123
RESERVE4,dr_ggprs,4,,,124
MNS_TYPE,dr_ggprs,4,,,125
USER_PROPERTY,dr_ggprs,4,,,126
MONITOR_CDR,dr_ggprs,4,,,127
STD_ERR_CODE,dr_ggprs,4,,,128
CDR_ADDCALC_DETAIL,dr_ggprs,4,,,129
BIND_NUMBER,dr_ggprs,4,,,130
ADDUP_INFO,dr_ggprs,4,,,131
ADDUP_DIS_INFO,dr_ggprs,4,,,132
XDRCLONED_CDR_NO,dr_ggprs,4,,,133
CREATE_DATE,dr_ggprs,5,,,134
ALL_PROMOTION_PRODS,dr_ggprs,4,,,135
USER_PROP_INFO,dr_ggprs,4,,,136
USER_BILL_DAY,dr_ggprs,1,,,137
CDR_QUERY_FLAG,dr_ggprs,1,,,138
USER_GROUP_INFO,dr_ggprs,4,,,139
FCI_TYPE,dr_ggprs,4,,,140
FREE_RES_UPGRADE,dr_ggprs,4,,,141
NOCLEAR_FLAG,dr_ggprs,1,,,142
MAIN_NOCLEAR_FLAG,dr_ggprs,1,,,143
NOCLEAR_GROUP_LIST,dr_ggprs,4,,,144
VOLUME_5G,dr_ggprs,4,,,145
DO_CLONE,dr_ggprs,1,,,146
NP_FLAG,dr_ggprs,4,,,147
OPP_NP_FLAG ,dr_ggprs,4,,,148
LATE_LINK,dr_ggprs,4,,,149
INPUT_TIME,dr_ggprs,5,,,150
ROW_ID,dr_ggprs,4,,,151
TRADEMARK,dr_gprs,4,,,1
DR_TYPE,dr_gprs,4,,,2
SERVICE_ID,dr_gprs,4,,,3
BILL_MONTH,dr_gprs,4,,,4
VALID_RATE_PROD_ID,dr_gprs,4,,,5
RATE_PROD_ID,dr_gprs,4,,,6
PRODUCT_ID,dr_gprs,4,,,7
PROMOTION_PRODS,dr_gprs,4,,,8
PLAN_ID,dr_gprs,4,,,9
CUST_ID,dr_gprs,4,,,10
ACC_ID,dr_gprs,4,,,11
USER_ID,dr_gprs,4,,,12
CONDITION_ID,dr_gprs,4,,,13
IMSI,dr_gprs,4,,,14
USER_NUMBER,dr_gprs,4,,,15
HPLMN1,dr_gprs,4,,,16
HPLMN2,dr_gprs,4,,,17
HPLMN3,dr_gprs,4,,,18
VPLMN1,dr_gprs,4,,,19
VPLMN2,dr_gprs,4,,,20
ROAM_NET_TYPE,dr_gprs,4,,,21
START_TIME,dr_gprs,5,,,22
DURATION,dr_gprs,4,,,23
RATING_RES,dr_gprs,4,,,24
RATING_FLAG,dr_gprs,4,,,25
ITEM_CODE1,dr_gprs,4,,,26
CHARGE1,dr_gprs,4,,,27
CHARGE1_DISC,dr_gprs,4,,,28
ITEM_CODE2,dr_gprs,4,,,29
CHARGE2,dr_gprs,4,,,30
CHARGE2_DISC,dr_gprs,4,,,31
ITEM_CODE3,dr_gprs,4,,,32
CHARGE3,dr_gprs,4,,,33
CHARGE3_DISC,dr_gprs,4,,,34
ITEM_CODE4,dr_gprs,4,,,35
CHARGE4,dr_gprs,4,,,36
CHARGE4_DISC,dr_gprs,4,,,37
FREE_RES_VAL,dr_gprs,4,,,38
ADDUP_RES_VAL,dr_gprs,4,,,39
RECORD_TYPE,dr_gprs,4,,,40
CALLER_INDICATE,dr_gprs,4,,,41
SGSN_ADDRESS,dr_gprs,4,,,42
SGSN_CHANGE,dr_gprs,4,,,43
MSNC,dr_gprs,4,,,44
LAC_ID,dr_gprs,4,,,45
CELL_ID,dr_gprs,4,,,46
RAC,dr_gprs,4,,,47
CHARGING_ID,dr_gprs,4,,,48
GGSN_ADDRESS,dr_gprs,4,,,49
APN_NI,dr_gprs,4,,,50
APN_OI,dr_gprs,4,,,51
PDP_TYPE,dr_gprs,4,,,52
PDP_ADDRESS,dr_gprs,4,,,53
CAUSE_CLOSE,dr_gprs,4,,,54
COMBINE_RESULT,dr_gprs,4,,,55
ROAM_TYPE,dr_gprs,4,,,56
UPVOLUME,dr_gprs,4,,,57
DOWNVOLUME,dr_gprs,4,,,58
PARTIAL_NUM,dr_gprs,4,,,59
ADDUP_RES,dr_gprs,4,,,60
TARIFF_SEQ_ID1,dr_gprs,4,,,61
QOS_REQ_RELIABILITY1,dr_gprs,4,,,62
QOS_REQ_DELAY1,dr_gprs,4,,,63
QOS_REQ_PRECEDENCE1,dr_gprs,4,,,64
QOS_REQ_PEAK1,dr_gprs,4,,,65
QOS_REQ_MEAN1,dr_gprs,4,,,66
QOS_NEG_RELIABILITY1,dr_gprs,4,,,67
QOS_NEG_DELAY1,dr_gprs,4,,,68
QOS_NEG_PRECEDENCE1,dr_gprs,4,,,69
QOS_NEG_PEAK1,dr_gprs,4,,,70
QOS_NEG_MEAN1,dr_gprs,4,,,71
DATA_FLOW_UP1,dr_gprs,4,,,72
DATA_FLOW_DOWN1,dr_gprs,4,,,73
BEGIN_TIME1,dr_gprs,5,,,74
DURATION1,dr_gprs,4,,,75
TARIFF_SEQ_ID2,dr_gprs,4,,,76
QOS_REQ_RELIABILITY2,dr_gprs,4,,,77
QOS_REQ_DELAY2,dr_gprs,4,,,78
QOS_REQ_PRECEDENCE2,dr_gprs,4,,,79
QOS_REQ_PEAK2,dr_gprs,4,,,80
QOS_REQ_MEAN2,dr_gprs,4,,,81
QOS_NEG_RELIABILITY2,dr_gprs,4,,,82
QOS_NEG_DELAY2,dr_gprs,4,,,83
QOS_NEG_PRECEDENCE2,dr_gprs,4,,,84
QOS_NEG_PEAK2,dr_gprs,4,,,85
QOS_NEG_MEAN2,dr_gprs,4,,,86
DATA_FLOW_UP2,dr_gprs,4,,,87
DATA_FLOW_DOWN2,dr_gprs,4,,,88
BEGIN_TIME2,dr_gprs,5,,,89
DURATION2,dr_gprs,4,,,90
TARIFF_SEQ_ID3,dr_gprs,4,,,91
QOS_REQ_RELIABILITY3,dr_gprs,4,,,92
QOS_REQ_DELAY3,dr_gprs,4,,,93
QOS_REQ_PRECEDENCE3,dr_gprs,4,,,94
QOS_REQ_PEAK3,dr_gprs,4,,,95
QOS_REQ_MEAN3,dr_gprs,4,,,96
QOS_NEG_RELIABILITY3,dr_gprs,4,,,97
QOS_NEG_DELAY3,dr_gprs,4,,,98
QOS_NEG_PRECEDENCE3,dr_gprs,4,,,99
QOS_NEG_PEAK3,dr_gprs,4,,,100
QOS_NEG_MEAN3,dr_gprs,4,,,101
DATA_FLOW_UP3,dr_gprs,4,,,102
DATA_FLOW_DOWN3,dr_gprs,4,,,103
BEGIN_TIME3,dr_gprs,5,,,104
DURATION3,dr_gprs,4,,,105
ORI_BASIC_CHARGE,dr_gprs,4,,,106
ORI_TOLL_CHARGE,dr_gprs,4,,,107
ORI_OTHER_CHARGE,dr_gprs,4,,,108
