XDR_FIELD_NAME,XDR_DR_TYPE,XDR_FIELD_TYPE,XDR_FIELD_INDEX
ALL_PROMOTION_PRODS,dr_ismg,4,75
ALL_PROMOTION_PRODS,dr_kj,4,77
ALL_PROMOTION_PRODS,dr_mms,4,89
ALL_PROMOTION_PRODS,dr_pbx,4,104
ALL_PROMOTION_PRODS,dr_sms,4,88
ALL_PROMOTION_PRODS,dr_vc,4,30
ALL_PROMOTION_PRODS,dr_wap,4,73
ALL_PROMOTION_PRODS,dr_wlan,4,73
ANALYSE_FLAG,dr_gsm,4,109
APNNI_CODE,dr_cbs,4,30
APN_NI,dr_ggprs,4,52
APN_NI,dr_gprs,4,50
APN_NI,dr_in_gprs,4,18
APN_NI,dr_in_gprs_old,4,18
APN_OI,dr_ggprs,4,53
APN_OI,dr_gprs,4,51
APP_ID,dr_in_gprs,4,29
APP_ID,dr_in_gprs_old,4,29
APP_TYPE,dr_cbs,4,29
APP_TYPE,dr_in_gprs,1,22
APP_TYPE,dr_in_gprs_old,1,22
APP_TYPE,dr_kj,4,40
APP_TYPE,dr_mms,4,44
AP_MAC,dr_wlan,4,82
AS_ADDRESS,dr_wlan,4,47
AUDIO_CODE_TYPE,dr_cbs,4,92
AUTH_APPLICATION_ID,dr_in_gprs,4,33
AUTH_APPLICATION_ID,dr_in_gprs_old,4,33
AUTH_TYPE,dr_wlan,4,40
A_NUMBER,dr_addvalue,4,20
A_NUMBER,dr_gsm,4,19
A_NUMBER,dr_pbx,4,19
A_NUMBER,dr_scp,4,6
A_NUMBER,dr_scp_old,4,6
BACKUP_DATE,dr_addvalue,4,92
BACKUP_DATE,dr_cbs,5,80
BACKUP_DATE,dr_ext,4,44
BACKUP_DATE,dr_ggprs,4,120
BACKUP_DATE,dr_gprs,4,114
BACKUP_DATE,dr_gsm,4,83
BACKUP_DATE,dr_ip,4,65
BACKUP_DATE,dr_ismg,4,64
BACKUP_DATE,dr_kj,4,66
BACKUP_DATE,dr_mms,4,78
BACKUP_DATE,dr_pbx,4,83
BACKUP_DATE,dr_sms,4,76
BACKUP_DATE,dr_wap,4,62
BACKUP_DATE,dr_wlan,4,62
BEGIN_DATE,dr_ext,5,59
BEGIN_TIME1,dr_ggprs,5,92
BEGIN_TIME1,dr_gprs,5,74
BEGIN_TIME2,dr_ggprs,5,108
BEGIN_TIME2,dr_gprs,5,89
BEGIN_TIME3,dr_gprs,5,104
BILL_FLAG,dr_addvalue,4,73
BILL_FLAG,dr_ggprs,4,71
BILL_FLAG,dr_ismg,4,48
BILL_ID_TYPE,dr_sms,4,42
BILL_INDICATE,dr_addvalue,4,16
BILL_INDICATE,dr_cbs,4,16
BILL_INDICATE,dr_gsm,4,16
BILL_INDICATE,dr_ip,4,43
BILL_INDICATE,dr_pbx,4,16
BILL_INDICATE,dr_sms,4,41
BILL_MONTH,dr_addvalue,4,4
BILL_MONTH,dr_cbs,4,4
BILL_MONTH,dr_ext,4,4
BILL_MONTH,dr_ggprs,4,4
BILL_MONTH,dr_gprs,4,4
BILL_MONTH,dr_gsm,4,4
BILL_MONTH,dr_ip,4,4
BILL_MONTH,dr_ismg,4,4
BILL_MONTH,dr_kj,4,4
BILL_MONTH,dr_mms,4,4
BILL_MONTH,dr_pbx,4,4
BILL_MONTH,dr_sms,4,4
BILL_MONTH,dr_wap,4,4
BILL_MONTH,dr_wlan,4,4
BIND_NUMBER,dr_ggprs,4,130
CALLER_INDICATE,dr_ggprs,4,43
CALLER_INDICATE,dr_gprs,4,41
CALL_REFNUM,dr_addvalue,4,113
CALL_REFNUM,dr_gsm,4,99
CALL_REFNUM,dr_ismg,1,85
CALL_REFNUM,dr_pbx,4,99
CALL_REFNUM,dr_sms,1,93
CALL_TYPE,dr_addvalue,4,24
CALL_TYPE,dr_gsm,4,23
CALL_TYPE,dr_ip,4,38
CALL_TYPE,dr_pbx,4,23
CALL_TYPE,dr_scp,4,10
CALL_TYPE,dr_scp_old,4,10
CALL_TYPE,dr_sms,4,40
CARD_CHARGE,dr_vc,4,19
CARD_HPLMN1,dr_vc,4,17
CARD_HPLMN2,dr_vc,4,18
CARD_ID,dr_vc,4,11
CARRY_TYPE,dr_kj,4,53
CARRY_TYPE,dr_mms,4,49
CAUSE_CLOSE,dr_ggprs,4,56
CAUSE_CLOSE,dr_gprs,4,54
CC_REQUEST_NUMBER,dr_in_gprs,4,30
CC_REQUEST_NUMBER,dr_in_gprs_old,4,30
CC_REQUEST_NUMBER,dr_scp,4,31
CC_REQUEST_TYPE,dr_scp,4,17
CC_REQUEST_TYPE,dr_scp_old,4,17
CC_SELECTION_MODE,dr_ggprs,4,59
CC_SELECTION_MODE,dr_gprs,4,139
CC_SELECTION_MODE,dr_in_gprs,4,56
CC_SELECTION_MODE,dr_in_gprs_old,4,56
CDR_ADDCALC_DETAIL,dr_ggprs,4,129
CDR_DEAL_FLAG,dr_cbs,1,105
CDR_DEAL_FLAG,dr_ismg,1,84
CDR_DEAL_FLAG,dr_kj,1,85
CDR_DEAL_FLAG,dr_mms,1,98
CDR_DEAL_FLAG,dr_wap,1,81
CDR_FLAG,dr_ggprs,4,27
CDR_QUERY_FLAG,dr_addvalue,1,111
CDR_QUERY_FLAG,dr_cbs,1,100
CDR_QUERY_FLAG,dr_ext,1,55
CDR_QUERY_FLAG,dr_ggprs,1,138
CDR_QUERY_FLAG,dr_gprs,1,132
CDR_QUERY_FLAG,dr_gsm,1,107
CDR_QUERY_FLAG,dr_hu,1,20
CDR_QUERY_FLAG,dr_ip,1,79
CDR_QUERY_FLAG,dr_ismg,1,79
CDR_QUERY_FLAG,dr_kj,1,80
CDR_QUERY_FLAG,dr_mms,1,93
CDR_QUERY_FLAG,dr_pbx,1,107
CDR_QUERY_FLAG,dr_sms,1,91
CDR_QUERY_FLAG,dr_vc,1,33
CDR_QUERY_FLAG,dr_wap,1,76
CDR_QUERY_FLAG,dr_wlan,1,77
CDR_STATE,dr_kj,4,52
CDR_STATE,dr_wap,4,50
CELL_ID,dr_addvalue,4,76
CELL_ID,dr_cbs,4,65
CELL_ID,dr_ggprs,4,48
CELL_ID,dr_gprs,4,46
CELL_ID,dr_gsm,4,72
CELL_ID,dr_in_gprs,4,40
CELL_ID,dr_in_gprs_old,4,40
CELL_ID,dr_pbx,4,72
CELL_ID,dr_scp,4,15
CELL_ID,dr_scp_old,4,15
CENTER_ID,dr_cbs,4,63
CFW_GATEWAY,dr_sms,4,65
CHARGE1,dr_addvalue,4,37
CHARGE1,dr_cbs,4,39
CHARGE1,dr_ext,4,23
CHARGE1,dr_ggprs,4,29
CHARGE1,dr_gprs,4,27
CHARGE1,dr_gsm,4,36
